Designator,Mid X,Mid Y,Rotation,Layer
C1,168.5,-120.0,90.0,top
C2,166.5,-116.0,-90.0,top
C3,166.5,-120.0,-90.0,top
C4,172.82,-105.27,0.0,bottom
C5,176.82,-105.27,0.0,bottom
D1,170.5,-116.0,90.0,top
D2,172.5,-116.0,90.0,top
D3,174.91,-109.52,0.0,bottom
IC1,174.82,-98.39,0.0,top
J1,159.58,-105.64,180.0,bottom
J2,159.58,-105.64,0.0,top
J3,190.06,-105.64,180.0,bottom
J4,190.06,-105.64,0.0,top
J5,176.52,-117.23,180.0,top
R1,168.5,-116.0,-90.0,top
R2,170.5,-120.0,-90.0,top
R3,172.5,-120.0,-90.0,top
U1,174.82,-98.35,90.0,bottom
